Designator,Mid X,Mid Y,Rotation,Layer
LS1,39.9775,-56.4312,90.0,top
MX1,-75.6769,-91.2838,348.0,top
MX10,37.465,-93.9799,0.0,top
MX11,56.515,-93.9799,0.0,top
MX12,75.565,-99.2187,0.0,top
MX13,18.415,-80.1687,0.0,top
MX14,37.465,-74.9299,0.0,top
MX15,56.515,-74.9299,0.0,top
MX16,75.565,-80.1687,0.0,top
MX2,-56.9912,-95.25,348.0,top
MX3,-38.4096,-99.2052,348.0,top
MX4,-53.0305,-76.6163,348.0,top
MX5,27.2775,-56.4312,90.0,top
MX6,-59.2412,-56.4312,90.0,top
MX7,-46.5412,-56.4312,90.0,top
MX8,-8.5725,-137.3187,0.0,top
MX9,18.415,-99.2187,0.0,top
RS1,52.6775,-56.4312,90.0,top
TURBO1,65.3775,-56.4312,90.0,top
